,rank,count
0,0,16
1,1,258
2,2,1953
3,3,9216
4,4,30360
5,5,74093
6,6,138769
7,7,204122
8,8,240484
9,9,234123
10,10,204008
11,11,189319
12,12,218514
13,13,289942
14,14,377965
15,15,451312
16,16,486424
17,17,475630
18,18,434550
19,19,397310
20,20,389912
21,21,404801
22,22,410580
23,23,388246
24,24,348425
25,25,312199
26,26,287984
27,27,272643
28,28,263311
29,29,259116
30,30,257937
31,31,256714
32,32,249567
33,33,225776
34,34,178625
35,35,117020
36,36,60875
37,37,24244
38,38,7085
39,39,1426
40,40,176
41,41,10
