Node,Aggregated Steps
0,688436
1,686911
2,686059
3,688863
4,686165
5,686918
6,688014
7,684611
8,685799
9,683607
10,684768
11,684719
12,684360
13,685981
14,685532
15,685520
16,684435
17,682734
18,685666
19,684036
20,685181
21,681104
22,684480
23,683631
24,681983
25,682162
26,683525
27,683636
28,678894
