Iteration,0,1,2,3,4,5,6,7,8,9
1,7,5,6,3,2,5,7,6,7,2
2,2,1,3,2,3,2,3,3,3,3
3,1,1,1,1,1,1,1,1,1,1
4,2,2,1,2,2,1,2,2,2,2
5,1,1,1,1,1,1,1,1,1,1
6,3,3,3,3,2,3,3,1,2,3
7,1,1,1,1,2,2,2,2,2,2
8,4,5,4,4,5,4,3,3,5,4
9,1,1,1,1,1,1,1,1,1,1
10,2,2,2,1,2,2,2,2,1,2
11,2,2,1,1,1,2,1,2,1,2
12,4,2,2,3,3,4,4,2,4,4
13,2,1,2,1,1,2,1,2,2,2
14,3,3,3,3,3,3,3,2,3,3
15,3,2,4,2,4,2,4,1,2,4
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1
18,2,1,2,1,2,2,2,1,2,1
19,1,1,1,1,1,1,1,1,1,1
20,2,2,2,1,2,1,2,2,2,1
21,1,3,3,1,1,3,3,3,2,1
22,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1
25,2,1,2,2,1,2,1,2,1,1
26,2,2,2,2,2,2,2,2,2,1
27,1,1,1,1,1,1,1,1,1,1
28,4,3,3,4,4,2,2,2,3,2
29,3,3,3,3,1,3,2,3,2,3
30,2,3,3,2,3,3,3,2,3,1
31,1,1,2,1,2,2,2,2,1,1
32,2,2,2,2,2,2,2,2,2,2
33,2,2,2,1,2,2,2,1,1,2
34,1,2,1,1,2,2,2,2,2,2
35,3,3,3,4,5,2,5,3,5,5
36,1,1,2,2,2,2,1,2,2,2
37,2,1,2,2,1,2,1,1,2,2
38,2,1,2,2,1,2,2,2,1,2
39,1,3,2,3,3,3,1,2,1,3
40,1,1,1,1,1,1,1,1,1,1
41,3,2,3,3,3,2,3,2,3,3
42,1,1,1,1,1,1,1,1,1,1
43,2,2,1,2,2,2,2,1,2,2
44,3,3,3,3,3,3,2,3,3,3
45,2,2,2,1,2,2,2,2,2,2
46,2,1,1,2,2,1,1,1,1,1
47,2,2,2,1,2,1,2,2,2,2
48,3,3,3,2,3,1,2,3,2,3
49,1,1,1,1,1,1,1,1,1,1
50,2,1,2,3,3,3,1,3,1,3
51,3,3,3,3,2,3,3,3,3,3
52,4,2,4,3,1,4,3,1,4,4
53,1,1,1,1,1,1,1,1,1,1
54,3,1,2,2,3,1,1,3,3,3
55,4,5,5,4,4,5,4,5,5,3
56,1,1,1,1,1,1,1,1,1,1
57,2,2,2,2,2,1,2,2,2,1
58,2,2,2,2,2,2,2,2,2,2
59,1,1,1,1,1,1,1,1,1,1
