Node,Aggregated Steps
0,729286
1,728384
2,728729
3,729452
4,725685
5,728592
6,726554
7,728087
8,725902
9,725987
10,722718
11,725264
12,725071
13,725540
14,725102
15,727407
16,729285
17,725607
18,722899
19,726663
20,724617
21,726095
22,724031
23,723440
24,724689
25,722735
26,725331
27,725479
28,723514
29,722969
