Iteration,0,1,2,3,4,5,6,7,8,9
1,3,1,2,3,1,3,3,3,3,3
2,5,1,3,3,8,4,5,3,5,1
3,5,1,3,3,3,2,2,3,1,6
4,3,12,4,11,13,4,11,3,9,9
5,2,2,3,4,3,1,3,3,3,1
6,1,5,7,7,7,2,3,10,5,1
7,1,1,12,2,3,4,3,3,3,1
8,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1
10,1,3,7,7,6,3,1,1,10,6
11,3,3,1,3,3,2,1,4,4,8
12,2,7,3,3,5,4,5,3,5,5
13,1,3,3,1,1,2,1,3,1,5
14,2,4,1,2,1,1,3,1,3,1
15,7,5,3,5,4,2,5,5,3,3
16,2,3,3,5,3,5,3,1,1,3
17,1,4,3,2,1,1,3,1,1,1
18,1,1,2,10,4,3,3,3,3,3
19,1,7,3,1,3,6,5,5,5,1
20,3,5,1,3,3,1,5,3,5,5
21,5,5,5,3,7,5,5,8,3,9
22,7,5,8,6,5,4,10,5,3,7
23,2,5,5,8,11,7,7,3,5,5
24,1,1,1,1,1,1,1,1,1,1
25,1,3,7,5,1,2,5,12,8,7
26,1,1,1,1,1,1,1,1,1,1
27,2,5,3,7,1,7,5,5,5,5
28,2,5,3,5,5,7,5,5,5,3
29,3,5,5,9,4,4,5,5,3,7
30,1,1,5,1,5,7,3,1,1,5
31,1,3,3,3,2,1,3,3,3,1
32,5,3,5,7,8,6,3,3,7,3
33,2,3,4,8,2,2,4,3,3,3
34,5,3,7,5,3,3,9,11,7,9
35,5,3,3,3,3,1,1,1,3,5
36,2,6,11,5,3,2,3,2,4,5
37,2,3,4,3,4,7,3,3,3,3
38,2,1,5,1,3,1,5,1,1,5
39,3,1,7,1,5,7,1,7,7,1
40,6,5,5,6,8,7,9,11,3,7
41,1,1,1,1,1,1,1,1,1,1
42,2,11,3,7,9,5,9,7,7,7
43,9,5,3,4,7,3,7,10,6,15
44,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1
46,2,3,2,2,3,4,3,1,3,3
47,1,1,1,1,1,1,1,1,1,1
48,3,3,3,5,3,4,3,5,3,3
49,18,7,3,3,9,2,4,7,10,12
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1
52,5,3,3,1,1,2,2,1,1,6
53,1,1,1,1,1,1,1,1,1,1
54,2,5,6,7,3,3,3,3,3,3
55,1,1,1,1,1,1,1,1,1,1
