Node,Aggregated Steps
0,531262
1,533010
2,531959
3,529904
4,530258
5,531403
6,530600
7,530242
8,529888
9,529056
10,530239
11,530208
12,528801
13,531732
14,530692
15,529986
16,529653
17,529929
18,528001
19,531075
20,529595
21,528895
22,528415
23,528352
24,531515
25,530190
26,528693
27,529710
28,526735
