Node,Aggregated Steps
0,292
1,320
2,341
3,363
4,325
5,374
6,349
7,329
8,363
9,365
10,412
11,313
12,365
13,313
14,267
15,320
16,364
17,319
18,381
19,395
20,260
21,401
22,378
23,402
24,382
25,269
26,270
27,350
28,277
29,333
