Iteration,0,1,2,3,4,5,6
1,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2
3,2,2,2,2,2,2,2
4,2,2,2,2,2,2,2
5,2,2,2,2,2,2,2
6,1,1,1,1,1,1,1
7,3,2,2,3,3,3,3
8,2,2,2,2,2,2,2
9,2,2,2,2,2,2,2
10,2,2,3,3,2,3,2
11,2,2,2,2,2,2,2
12,3,3,3,4,3,3,3
13,1,1,1,1,1,1,1
14,2,2,2,2,2,2,2
15,2,2,2,2,2,2,2
16,2,2,2,2,2,2,2
17,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1
19,2,2,2,2,2,2,2
20,3,2,2,2,3,2,2
21,1,1,1,1,1,1,1
22,2,2,1,2,2,2,2
23,2,2,2,2,2,2,2
24,2,2,3,2,3,2,3
25,2,2,2,2,2,2,2
26,2,2,2,2,2,2,2
27,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1
29,2,2,2,2,2,2,2
30,2,2,2,2,2,2,2
31,1,1,1,1,1,1,1
32,3,3,3,3,3,3,3
33,2,2,2,1,2,2,2
34,1,1,1,1,1,1,1
35,3,3,3,3,3,3,3
36,2,2,2,2,2,2,1
37,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1
39,2,2,2,2,2,2,2
40,3,3,3,3,3,3,3
41,4,4,4,4,3,3,3
42,1,1,1,1,1,1,1
43,3,2,2,3,2,3,2
44,2,2,2,2,2,2,2
45,1,1,1,1,1,1,1
46,2,3,2,2,3,3,2
47,3,2,3,2,2,2,3
48,2,2,2,2,1,2,2
49,2,2,2,2,3,2,2
50,3,3,3,3,3,3,3
51,2,2,2,2,2,2,2
52,1,1,1,1,1,1,1
53,2,1,1,2,2,2,2
54,1,1,2,2,2,2,2
55,1,1,1,1,1,1,1
56,3,3,3,2,3,2,3
57,1,1,1,1,1,1,1
58,2,2,2,1,2,1,1
59,1,1,2,2,2,1,2
60,1,1,1,1,1,1,1
61,2,2,2,2,2,2,2
62,1,1,1,1,1,1,1
63,3,2,3,2,2,3,3
64,2,2,1,1,1,2,2
65,1,1,1,1,1,1,1
66,2,2,2,2,2,2,2
67,1,1,1,1,1,1,1
68,1,1,1,1,1,1,1
69,2,2,2,2,1,2,2
70,1,1,1,1,1,1,1
71,2,3,3,3,3,3,3
72,3,2,3,3,3,2,3
73,2,2,2,2,2,2,2
74,1,1,1,1,1,1,1
75,2,2,2,2,2,2,2
76,3,3,3,2,2,2,3
77,2,3,2,2,2,3,3
78,1,1,1,1,1,1,1
79,2,3,3,2,3,3,2
80,2,2,2,2,2,2,2
81,1,2,1,2,2,1,1
82,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1
85,2,2,2,3,2,2,3
86,2,2,2,2,2,2,2
87,1,1,1,1,1,1,1
88,2,3,3,3,3,3,3
89,3,3,2,2,2,2,3
90,1,2,1,2,1,2,2
91,2,2,2,2,2,2,2
92,2,2,1,2,2,2,2
93,1,1,1,1,1,1,1
94,1,2,3,2,1,3,1
95,1,1,1,1,1,1,1
96,2,2,2,2,2,2,2
97,1,1,1,1,1,1,1
98,2,2,1,2,2,2,2
99,2,2,2,2,2,2,2
100,3,2,3,3,3,2,3
101,1,1,1,1,1,1,1
102,1,1,1,2,3,3,3
103,2,2,2,2,2,2,2
104,1,1,1,1,1,1,1
105,2,1,1,2,2,2,1
106,2,3,3,3,3,3,3
107,3,3,3,3,3,2,2
108,2,2,2,2,2,2,2
109,2,2,2,2,2,2,2
110,3,2,3,2,2,3,2
111,2,2,3,2,3,3,2
112,2,2,2,2,2,2,2
113,3,3,3,3,3,3,3
114,1,1,1,1,1,1,1
115,2,2,2,1,2,2,2
116,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1
119,2,2,2,2,2,2,2
120,2,2,2,2,2,2,2
121,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1
123,3,2,3,3,3,3,3
124,1,1,1,1,1,1,1
125,3,2,2,3,3,3,3
126,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1
129,2,2,2,1,2,1,1
130,1,1,1,1,1,1,1
131,2,2,2,1,1,2,1
132,1,1,1,1,1,1,1
133,2,2,2,2,2,2,2
134,1,1,1,1,1,1,1
135,4,4,4,3,4,4,3
136,1,1,1,1,1,1,1
137,3,3,2,3,3,3,3
138,2,2,2,2,2,2,2
139,1,1,1,1,1,1,1
140,2,2,2,2,2,2,2
141,1,1,1,1,1,1,1
142,1,1,1,1,1,1,1
143,1,1,2,2,2,1,2
144,2,1,1,2,1,1,1
145,3,2,2,2,2,3,3
146,2,2,2,2,2,2,2
147,2,2,2,2,2,2,2
148,1,1,1,1,1,1,1
149,3,3,3,3,3,3,3
150,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1
152,4,6,7,4,6,4,4
153,3,2,3,3,2,2,2
154,2,2,2,2,2,2,2
155,3,3,3,3,3,3,3
156,3,3,3,3,3,2,3
157,2,2,3,3,3,2,3
158,1,1,1,1,1,1,1
159,1,1,1,1,1,1,1
160,2,2,2,1,2,2,1
161,1,1,1,1,1,1,1
162,2,2,2,2,2,2,2
163,2,3,2,2,3,3,3
164,1,1,1,1,1,1,1
165,1,1,1,1,1,1,1
166,4,4,3,4,4,3,4
167,2,1,1,2,2,2,2
168,1,1,1,1,1,1,1
169,2,2,2,2,2,2,2
170,1,2,1,2,2,2,2
171,1,1,1,1,1,1,1
172,3,3,3,3,3,3,3
173,1,1,1,1,1,1,1
174,1,1,1,1,1,1,1
175,2,2,2,2,2,2,2
176,1,1,1,1,1,1,1
177,2,2,2,2,2,2,2
178,1,1,1,1,1,1,1
179,2,2,2,2,1,1,2
180,2,2,2,2,2,2,2
181,3,3,3,3,3,3,3
182,2,2,2,2,2,2,2
183,3,3,3,3,3,3,3
184,1,1,1,1,1,1,1
185,3,2,3,3,3,3,2
186,1,1,1,1,1,1,1
187,2,2,2,2,2,2,2
188,2,2,2,2,2,2,2
189,2,2,2,2,2,2,2
190,2,2,2,2,2,2,2
191,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1
193,3,3,3,3,3,3,3
194,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1
197,1,1,2,2,2,1,2
198,3,3,3,3,3,3,2
199,1,1,1,1,1,1,1
200,3,3,3,1,3,1,3
201,1,1,1,1,1,1,1
202,2,2,1,1,1,1,1
203,2,2,2,2,2,2,2
204,2,2,2,2,2,2,3
205,1,2,2,2,2,1,1
206,3,3,4,3,3,2,2
207,3,2,3,2,2,3,2
208,1,1,1,1,1,1,1
209,2,2,2,2,2,2,2
210,3,3,3,3,3,3,3
211,1,1,1,1,1,1,1
212,2,4,4,3,3,3,3
213,2,2,2,2,2,2,2
214,1,1,1,1,1,1,1
215,3,3,3,2,2,2,3
216,2,1,1,1,2,2,2
217,2,2,2,2,2,2,2
218,1,2,1,2,1,1,2
219,1,1,1,1,1,1,1
220,2,3,2,3,3,3,2
221,1,1,1,1,1,1,1
222,2,2,2,2,2,2,2
223,2,1,1,2,2,1,1
224,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1
226,3,2,3,2,2,3,2
227,1,1,1,1,1,1,1
228,2,2,2,2,2,2,2
229,2,1,2,2,2,2,2
230,1,1,1,1,1,1,1
231,2,2,1,1,1,2,2
232,1,1,1,1,1,1,1
233,2,3,3,3,2,2,2
234,2,2,2,2,2,1,1
235,2,2,2,2,2,2,2
236,2,2,2,2,2,2,2
237,3,3,2,2,3,3,3
238,2,2,2,2,2,2,2
239,2,1,1,2,2,2,2
240,2,2,2,2,2,2,2
241,2,2,2,2,2,2,2
242,1,1,1,1,1,1,1
243,3,4,3,3,4,4,3
244,1,1,1,2,2,2,2
245,2,2,2,2,2,2,2
246,2,2,2,2,2,2,2
247,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1
249,2,2,2,2,2,2,2
250,1,1,1,1,1,1,1
251,2,3,3,3,2,3,3
252,2,2,2,2,2,2,2
253,2,2,2,2,2,2,2
254,3,3,2,3,3,3,3
255,2,2,2,2,2,2,2
256,2,2,2,2,2,2,2
257,2,2,2,2,2,2,2
258,4,4,6,4,4,7,4
259,1,1,1,1,1,1,1
260,1,2,1,1,1,2,2
261,2,2,2,2,2,2,2
262,2,2,2,1,2,2,2
263,1,1,1,1,1,1,1
264,2,2,2,2,2,2,2
265,1,1,1,1,1,1,1
266,2,2,2,3,3,3,3
267,3,3,3,2,3,2,2
268,3,2,2,2,3,3,3
269,2,3,3,2,2,3,3
270,2,2,2,2,2,2,2
271,1,2,2,2,2,2,1
272,2,3,2,2,3,2,2
273,2,2,2,2,2,2,2
274,1,1,1,1,1,1,1
275,2,2,2,2,2,2,2
276,2,2,2,2,2,2,2
277,2,2,2,2,2,2,2
278,1,1,1,1,1,1,1
279,1,2,2,2,1,1,1
280,4,4,3,3,4,4,4
281,1,1,1,1,1,1,1
282,1,1,1,1,1,1,1
283,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1
285,2,2,2,2,2,2,2
286,2,2,2,2,2,1,2
287,3,3,2,3,2,3,2
288,1,1,1,1,1,1,1
289,2,3,2,3,2,2,3
290,2,2,2,2,2,2,2
291,2,2,2,2,2,2,2
292,1,1,1,1,1,1,1
293,2,2,2,2,2,2,2
294,1,1,1,1,1,1,1
295,2,2,2,2,2,2,2
296,3,2,2,3,3,3,2
297,2,3,3,2,2,2,2
298,2,2,2,2,2,2,2
299,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1
301,2,2,2,2,2,2,2
302,2,3,3,2,3,3,2
303,2,2,2,2,2,2,1
304,1,1,1,1,1,1,1
305,2,2,2,2,2,2,2
306,2,2,2,2,2,2,2
307,3,3,2,2,2,2,2
308,2,2,2,2,2,2,2
309,1,1,1,1,1,1,1
310,3,3,3,3,3,3,3
311,2,2,2,2,2,2,2
312,2,2,2,2,2,2,2
313,4,4,3,3,3,4,4
314,3,2,2,2,2,3,2
315,1,1,1,1,1,1,1
316,1,1,1,1,1,1,1
317,3,3,2,3,3,3,2
318,2,3,3,2,3,3,3
319,1,1,1,1,1,1,1
320,2,2,2,2,2,2,2
321,1,1,1,1,1,1,1
322,3,3,3,3,3,3,3
323,2,2,3,2,2,2,2
324,4,4,4,4,4,3,4
325,3,3,3,3,3,3,3
326,3,3,2,2,2,2,2
327,2,2,3,2,3,3,3
328,1,1,1,1,1,1,1
329,2,2,2,2,2,2,2
330,3,3,3,3,3,3,3
331,2,2,2,2,3,3,3
332,3,3,2,2,3,2,2
333,1,1,1,1,1,1,1
334,2,1,2,2,1,2,2
335,1,1,1,1,1,1,1
336,3,3,3,3,4,4,3
337,2,2,2,2,2,2,2
338,2,2,2,2,2,2,2
339,2,2,2,2,2,2,2
340,1,1,1,1,1,1,1
341,3,2,2,3,2,3,2
342,1,1,1,1,1,1,1
343,2,2,2,2,2,2,2
344,1,1,1,1,1,1,1
345,2,3,2,3,2,3,2
346,1,1,1,1,1,1,1
347,2,2,2,2,2,2,2
348,3,3,3,3,3,3,3
349,2,2,2,2,2,2,2
350,1,1,1,1,1,1,1
351,2,2,2,2,2,2,2
352,2,2,2,2,2,2,2
353,3,2,2,3,3,3,3
354,1,1,1,1,1,1,1
355,2,2,2,2,2,3,2
356,2,2,2,2,2,2,2
357,2,2,2,2,2,2,2
358,2,2,2,1,2,2,2
359,1,1,1,1,1,1,1
360,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1
363,2,2,2,2,2,2,2
364,4,3,3,3,3,4,3
365,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1
369,2,2,2,2,2,2,2
370,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1
373,2,2,2,2,2,2,2
374,1,1,1,1,1,1,1
375,3,3,4,4,3,4,4
376,1,1,1,1,1,1,1
377,3,2,3,3,3,2,3
378,3,3,3,3,3,3,3
379,2,2,2,2,2,2,2
380,2,2,1,2,1,2,1
381,1,2,1,2,1,2,2
382,2,2,2,2,2,2,2
383,2,2,2,1,2,1,2
384,2,2,2,2,2,2,2
385,1,1,1,1,1,1,1
386,4,3,4,3,3,4,4
387,1,1,1,1,1,1,1
388,2,2,2,2,2,2,2
389,2,2,2,2,2,2,2
390,2,2,2,2,2,2,2
391,2,2,2,2,1,1,2
392,4,4,4,3,4,4,3
393,1,1,1,1,1,1,1
394,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1
397,1,1,1,1,1,1,1
398,3,3,3,3,4,4,3
399,1,1,1,1,1,1,1
400,2,2,3,3,3,3,3
401,2,2,3,3,2,1,2
402,2,2,2,2,2,2,2
403,2,2,2,2,2,2,2
404,2,2,1,1,1,2,1
405,1,1,1,1,1,1,1
406,2,2,2,1,1,1,2
407,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1
409,1,1,1,1,1,1,1
410,2,1,2,1,2,1,1
411,1,1,1,1,1,1,1
412,2,2,2,2,2,2,2
413,1,3,2,1,1,2,2
414,1,1,1,1,1,1,1
415,3,3,3,3,3,2,3
416,1,2,2,1,2,1,2
417,2,2,2,2,2,2,2
418,1,1,1,1,1,1,1
419,1,1,2,1,1,2,1
420,2,2,2,2,2,2,2
421,2,2,2,2,2,2,2
422,2,1,1,2,1,2,2
423,1,1,1,1,1,1,1
424,1,1,1,1,1,1,1
425,1,1,1,1,1,1,1
426,1,1,1,1,1,1,1
427,1,2,2,2,1,2,2
428,2,2,1,2,2,1,2
429,1,1,1,1,1,1,1
430,3,3,3,3,3,3,2
431,2,2,2,2,2,2,2
432,2,2,2,2,2,2,2
433,2,2,2,2,2,2,1
434,3,3,3,3,3,3,2
435,2,2,2,2,2,2,2
436,1,1,1,1,1,1,1
437,1,1,1,1,1,1,1
438,1,1,1,1,1,1,1
439,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1
441,1,2,1,2,1,2,1
442,2,2,2,2,2,2,2
443,2,2,2,2,1,2,2
444,2,2,2,2,2,2,2
445,2,2,2,2,2,2,2
446,3,2,2,3,3,2,3
447,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1
449,1,2,1,1,2,1,2
450,3,3,3,3,3,3,3
451,2,2,2,2,2,2,2
452,1,1,2,2,2,1,2
453,1,2,2,1,1,2,2
454,2,2,2,2,2,2,2
455,1,1,1,1,1,1,1
456,3,3,3,2,3,3,3
457,2,2,2,2,2,2,2
458,1,1,1,1,1,1,1
459,4,4,3,4,4,4,4
460,2,2,2,2,2,2,2
461,2,2,1,2,1,2,2
462,1,1,1,1,1,1,1
463,2,2,2,2,2,2,2
464,2,2,2,1,2,2,1
465,2,2,2,2,2,2,2
466,2,2,2,2,2,2,2
467,3,2,2,3,2,3,2
468,3,3,3,2,3,2,3
469,2,1,1,2,1,2,1
470,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1
474,2,2,2,2,2,2,2
475,2,2,2,2,2,2,2
476,2,2,2,2,2,2,2
477,1,1,1,1,1,1,1
478,3,3,2,2,2,2,2
479,1,2,1,2,2,2,1
480,3,2,3,2,3,2,2
481,1,1,1,1,1,1,1
482,1,1,1,1,1,1,1
483,1,1,1,1,1,1,1
484,2,2,2,2,2,2,2
485,1,1,1,1,1,1,1
486,1,1,1,1,1,1,1
487,3,3,3,3,3,3,3
488,2,3,3,3,3,3,3
489,2,2,2,2,2,2,2
490,3,3,3,2,2,3,3
491,2,2,2,2,2,2,2
492,2,2,2,2,2,2,2
493,2,2,2,2,2,2,2
494,1,1,1,1,1,1,1
495,1,1,1,1,1,1,1
496,1,1,1,1,1,1,1
497,2,2,2,2,2,2,2
498,2,2,2,2,2,2,2
