Node,-10,-8,-6,-4,-2,0,2,4,6,8,10
0,8,232,5365,56873,298690,476898,141691,18959,1234,50
1,5,92,2717,44786,312093,491689,135879,12158,565,16
2,2,113,3681,51139,308329,479412,141450,15146,708,20
3,0,34,1411,32053,312099,532615,114046,7479,261,2
4,0,79,2215,40241,312330,506380,127954,10370,419,12
5,1,145,3707,49382,309010,484423,137956,14531,822,23
6,0,36,1592,32956,312775,527780,116760,7846,247,8
7,0,48,1707,34530,313422,522707,119023,8229,326,8
8,0,87,2530,43827,312260,496352,132922,11533,476,13
9,2,66,1985,37971,315545,508897,125817,9347,360,10
10,2,36,1181,27036,298075,566778,100715,5997,175,5
11,1,33,1240,26761,298313,566462,100719,6258,211,2
12,1,23,1014,25085,286692,587597,93997,5401,188,2
13,1,52,1556,32888,311418,529408,116692,7724,259,2
14,0,37,1520,31553,311359,534872,113026,7370,262,1
15,0,34,1368,30069,306803,545389,109164,6932,233,8
16,0,93,2820,45413,312019,490819,136163,12150,510,13
17,0,38,1510,31766,314266,531513,113252,7407,246,2
18,0,18,948,23089,276128,605562,89078,5021,149,7
19,0,36,1487,32107,314922,529258,114565,7322,301,2
20,1,22,965,23568,278232,602413,89449,5188,161,1
21,0,36,1337,29774,308818,543815,109257,6732,228,3
22,0,29,1245,27926,304227,556194,103948,6226,199,6
23,1,26,1208,27808,299498,562244,102804,6212,195,4
24,0,43,1493,32317,311794,531746,114865,7482,254,6
25,1,29,1253,29823,311229,542688,107984,6766,222,5
26,1,35,1306,28878,305930,550632,106272,6736,205,5
27,1,39,1390,31017,310388,537739,112095,7078,249,4
28,0,43,1444,31077,309811,539681,110703,6999,236,6
29,0,40,1264,28853,303404,553287,106297,6599,249,7
