Node,0,1,2,3,4,5,6,7,8,9,10
0,372,88700,371471,357859,144073,32380,4633,477,33,2
1,378,89291,371342,356835,144697,32238,4681,498,39,1
2,399,88479,371263,358445,144190,32158,4565,457,44,0
3,359,89020,370912,358104,144269,32239,4551,511,29,6
4,385,88579,372107,357172,144134,32478,4631,484,29,1
5,417,88774,371454,357216,144739,32284,4613,455,47,1
6,390,88673,371287,358032,144209,32207,4648,513,38,3
7,435,88452,371665,357340,144715,32150,4663,541,37,2
8,402,88959,371288,357564,144025,32530,4715,492,22,3
9,91,89652,371033,357366,144320,32314,4696,484,40,4
10,348,89274,371845,357005,144099,32221,4706,466,36,0
11,384,89216,370751,357934,144402,32142,4664,472,31,4
12,203,89135,371137,357503,144756,32131,4631,465,38,1
13,349,88733,371938,357842,143879,31993,4722,509,32,3
14,437,89029,371606,357254,143896,32539,4718,489,29,3
15,321,88992,371252,357527,144356,32282,4754,478,38,0
16,117,89553,370857,357159,144686,32438,4662,486,40,2
17,225,89288,371322,357506,144045,32388,4722,463,35,6
18,223,88984,371692,357218,144233,32399,4685,525,40,1
19,219,89238,371604,357258,144273,32176,4747,451,29,5
20,60,88988,371349,357832,144221,32387,4641,479,42,1
21,269,89280,371708,357386,143753,32423,4668,475,37,1
22,342,88758,371924,356317,145072,32361,4679,505,39,3
23,221,89537,371010,356951,144741,32250,4710,532,45,3
24,274,89224,371310,357539,144117,32502,4525,476,32,1
25,255,89334,370936,357467,144596,32199,4650,528,34,1
26,179,89501,371382,357155,144290,32323,4652,484,33,1
27,184,89372,371179,356971,144958,32158,4639,494,45,0
28,14,89255,371086,357472,144514,32387,4731,485,51,5
