params,avg loss (3)
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0137853622436523
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.010694146156311
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.017240285873413
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.02652907371521
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",2.9673590660095215
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",2.9675984382629395
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0143218040466309
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",2.9655685424804688
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.018012285232544
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",2.968510150909424
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.014509677886963
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.0089998245239258
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0104535818099976
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0102343559265137
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.0099384784698486
"{'lr': 0.01, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0145829916000366
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.0748704671859741
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",4.93560791015625
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",3.006502628326416
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",2.9955835342407227
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",3.0113792419433594
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0712215900421143
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.024539828300476
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.0254634618759155
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0263395309448242
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0240883827209473
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.020182490348816
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.020692229270935
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",2.9738941192626953
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",3.016911268234253
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",4.9194722175598145
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",4.920500755310059
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",4.91892147064209
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0262782573699951
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.02229642868042
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.0226597785949707
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0195083618164062
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.017484426498413
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.016115665435791
"{'lr': 0.001, 'batch_size': 32, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0176528692245483
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",3.010417938232422
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",4.933833122253418
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0721487998962402
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.1026614904403687
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",4.939531326293945
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",2.998717784881592
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.0282669067382812
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.0297430753707886
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.0237011909484863
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0239051580429077
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.0225422382354736
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 25, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0215524435043335
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",6.868161678314209
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",4.919458389282227
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",2.976504325866699
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",2.9723029136657715
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",2.9742989540100098
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.sgd.SGD'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",4.922624588012695
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 0.0001}",1.0251977443695068
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 16, 'optimizer__weight_decay': 1e-05}",1.0212666988372803
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 0.0001}",1.020629644393921
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 32, 'optimizer__weight_decay': 1e-05}",1.0168546438217163
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 0.0001}",1.0145258903503418
"{'lr': 0.001, 'batch_size': 64, 'max_epochs': 50, 'optimizer': <class 'torch.optim.adam.Adam'>, 'module__dim_h': 64, 'optimizer__weight_decay': 1e-05}",1.0129590034484863
