epoch,accuracy
1,75.5011
2,81.2658
3,84.0177
4,86.0267
5,87.5592
6,88.7321
7,89.6485
8,90.3952
9,91.005
10,91.5208
11,91.9656
12,92.349
13,92.6838
14,92.9801
15,93.2441
16,93.4798
17,93.6941
18,93.8895
19,94.0704
20,94.236
21,94.3893
22,94.5341
23,94.672
24,94.8039
25,94.9303
26,95.0518
27,95.1679
28,95.278
29,95.3825
30,95.4814
31,95.5751
32,95.6642
33,95.7492
34,95.8305
35,95.9073
36,95.9807
37,96.051
38,96.1183
39,96.1822
40,96.2436
41,96.3024
42,96.358
43,96.412
44,96.4636
45,96.5129
46,96.56
47,96.6057
48,96.6496
49,96.6914
50,96.7317
