epoch,accuracy
1,0
2,13.0675
3,30.8282
4,40.5341
5,46.5023
6,50.5516
7,53.4854
8,55.7187
9,57.4772
10,58.8821
11,60.067
12,61.0665
13,61.9239
14,62.6715
15,63.3282
16,63.9133
17,64.4384
18,64.9117
19,65.3416
20,65.7334
21,66.0931
22,66.4242
23,66.7315
24,67.0159
25,67.2808
26,67.5285
27,67.7611
28,67.9805
29,68.1872
30,68.3829
31,68.5689
32,68.7454
33,68.9148
34,69.0751
35,69.2285
36,69.3747
37,69.5145
38,69.6478
39,69.7764
40,69.9005
41,70.0197
42,70.1354
43,70.2445
44,70.3516
45,70.4547
46,70.5528
47,70.6508
48,70.7447
49,70.8374
50,70.9274
