epoch,accuracy
1,78.1533
2,81.5348
3,83.21
4,84.312
5,85.1208
6,85.7997
7,86.4111
8,86.9625
9,87.432
10,87.8271
11,88.1634
12,88.4536
13,88.7063
14,88.9289
15,89.1257
16,89.3004
17,89.4563
18,89.596
19,89.7217
20,89.8355
21,89.939
22,90.0336
23,90.1203
24,90.2003
25,90.2742
26,90.3432
27,90.4072
28,90.4669
29,90.5227
30,90.5749
31,90.6238
32,90.6698
33,90.7131
34,90.7539
35,90.7925
36,90.8289
37,90.8634
38,90.8964
39,90.9278
40,90.9578
41,90.9864
42,91.0139
43,91.0401
44,91.0653
45,91.0897
46,91.1132
47,91.1355
48,91.157
49,91.1776
50,91.1975
