epoch,accuracy
1,42.8477
2,51.8176
3,56.0457
4,59.2544
5,62.1811
6,64.8517
7,67.1704
8,69.0558
9,70.6017
10,71.9019
11,73.0089
12,73.9648
13,74.8032
14,75.5414
15,76.2044
16,76.8006
17,77.342
18,77.8374
19,78.2914
20,78.7111
21,79.0971
22,79.4619
23,79.7985
24,80.1124
25,80.4066
26,80.6845
27,80.9454
28,81.1927
29,81.4265
30,81.6479
31,81.8591
32,82.0604
33,82.2523
34,82.4362
35,82.6136
36,82.7841
37,82.9485
38,83.1083
39,83.2624
40,83.4107
41,83.5538
42,83.6911
43,83.823
44,83.9505
45,84.0738
46,84.195
47,84.313
48,84.4281
49,84.5421
50,84.6521
