Rank,Count (Max),Count (Avg)
0,9,9
1,162,162
2,1377,1377
3,7344,7344
4,27540,27540
5,77112,77112
6,167076,167076
7,286416,286416
8,393822,393822
9,437580,437580
10,393822,393822
11,286417,286417
12,167094,167103
13,77274,77265
14,28509,28545
15,11628,11592
16,16065,16065
17,40146,40146
18,87525,87525
19,155142,155142
20,223652,223652
21,262549,262549
22,250641,250650
23,193902,194109
24,121992,123144
25,67932,73368
26,52224,53568
27,80529,94053
28,144450,134622
29,218944,207100
30,267419,267419
31,262548,262548
32,206856,206856
33,129948,129948
34,64260,64260
35,24480,24480
36,6936,6936
37,1377,1377
38,171,171
39,10,10
