Rank,Count (Max),Count (Avg)
0,19,19
1,316,316
2,2460,2460
3,11903,11903
4,40088,40088
5,99733,99733
6,189893,189896
7,283151,283184
8,336640,336617
9,326831,326947
10,275033,275375
11,235079,236385
12,254496,256173
13,342451,343291
14,465230,472384
15,571783,596247
16,634019,685358
17,665137,722359
18,690905,759028
19,706681,673932
20,679769,648027
21,596292,544125
22,488198,448326
23,407344,385715
24,383570,380060
25,408058,402606
26,443964,436858
27,452481,449882
28,420857,426289
29,367395,378967
30,314506,322265
31,263234,253172
32,201982,193701
33,131516,117968
34,68504,63496
35,27278,24951
36,7920,6953
37,1567,1280
38,187,138
39,10,6
