,rank effect,count
0,-54,12
1,-53,24
2,-52,3
3,-51,24
4,-50,18
5,-49,24
6,-48,24
7,-47,24
8,-46,36
9,-45,48
10,-44,30
11,-43,24
12,-42,54
13,-41,87
14,-40,60
15,-39,117
16,-38,90
17,-37,93
18,-36,147
19,-35,147
20,-34,225
21,-33,204
22,-32,195
23,-31,243
24,-30,285
25,-29,327
26,-28,375
27,-27,366
28,-26,342
29,-25,531
30,-24,612
31,-23,738
32,-22,753
33,-21,1374
34,-20,1263
35,-19,1134
36,-18,1224
37,-17,1182
38,-16,1167
39,-15,975
40,-14,981
41,-13,1050
42,-12,1290
43,-11,1236
44,-10,993
45,-9,1131
46,-8,1242
47,-7,1341
48,-6,1377
49,-5,1668
50,-4,2280
51,-3,3282
52,-2,5208
53,-1,10032
54,0,9552
55,1,10032
56,2,5208
57,3,3282
58,4,2280
59,5,1668
60,6,1377
61,7,1341
62,8,1242
63,9,1131
64,10,993
65,11,1236
66,12,1290
67,13,1050
68,14,981
69,15,975
70,16,1167
71,17,1182
72,18,1224
73,19,1134
74,20,1263
75,21,1374
76,22,753
77,23,738
78,24,612
79,25,531
80,26,342
81,27,366
82,28,375
83,29,327
84,30,285
85,31,243
86,32,195
87,33,204
88,34,225
89,35,147
90,36,147
91,37,93
92,38,90
93,39,117
94,40,60
95,41,87
96,42,54
97,43,24
98,44,30
99,45,48
100,46,36
101,47,24
102,48,24
103,49,24
104,50,18
105,51,24
106,52,3
107,53,24
108,54,12
