Rank,Count (Max),Count (Avg)
0,129,129
1,482,482
2,1295,1333
3,2607,2734
4,4251,4742
5,6077,7139
6,7871,9718
7,9387,12163
8,10641,14575
9,11629,16839
10,12010,18459
11,12162,19999
12,12212,21600
13,12269,22789
14,12060,24046
15,11797,25011
16,11560,25294
17,11295,25536
18,10897,25513
19,10605,24787
20,10447,24142
21,10182,22822
22,10105,21558
23,10150,20595
24,10296,18672
25,10256,17179
26,10088,15959
27,9869,14588
28,9836,13340
29,9816,12108
30,9920,10651
31,9926,9067
32,10046,7399
33,9801,5960
34,9812,4610
35,9790,3450
36,9799,2389
37,9721,1594
38,9830,1035
39,9753,658
40,9498,372
41,9419,185
42,9231,86
43,9151,56
44,8915,31
45,8475,17
46,8241,15
47,7781,8
48,7417,3
49,7064,2
50,6906,2
51,6418,0
52,5971,0
53,5687,0
54,5418,0
55,5081,0
56,4721,0
57,4297,0
58,3971,0
59,3682,0
60,3421,0
61,3126,0
62,2729,0
63,2459,0
64,2163,0
65,1940,0
66,1662,0
67,1394,0
68,1099,0
69,896,0
70,720,0
71,547,0
72,399,0
73,296,0
74,213,0
75,150,0
76,91,0
77,55,0
78,31,0
79,13,0
80,7,0
81,4,0
82,3,0
