,rank,count
0,0,93
1,1,6
2,2,6
3,3,21
4,4,30
5,5,27
6,6,24
7,7,48
8,8,45
9,9,24
10,10,36
11,11,81
12,12,66
13,13,51
14,14,66
15,15,87
16,16,78
17,17,99
18,18,138
19,19,165
20,20,153
21,21,129
22,22,126
23,23,150
24,24,141
25,25,144
26,26,183
27,27,171
28,28,168
29,29,189
30,30,189
31,31,210
32,32,216
33,33,204
34,34,210
35,35,222
36,36,222
37,37,309
38,38,312
39,39,243
40,40,249
41,41,294
42,42,303
43,43,357
44,44,429
45,45,522
46,46,525
47,47,546
48,48,576
49,49,633
50,50,564
51,51,552
52,52,492
53,53,426
54,54,435
55,55,366
56,56,282
57,57,255
58,58,330
59,59,363
60,60,276
61,61,267
62,62,291
63,63,345
64,64,330
65,65,345
66,66,405
67,67,420
68,68,390
69,69,489
70,70,396
71,71,417
72,72,375
73,73,312
74,74,219
75,75,198
76,76,168
77,77,132
78,78,123
79,79,57
80,80,57
81,81,39
82,82,15
83,83,12
84,84,24
