Rank,Count (Max),Count (Avg)
0,105,105
1,270,270
2,579,623
3,893,982
4,1155,1373
5,1430,1819
6,1606,2155
7,1585,2407
8,1620,2718
9,1609,2922
10,1540,3098
11,1550,3219
12,1534,3245
13,1441,3189
14,1445,3141
15,1439,3149
16,1528,3192
17,1615,3054
18,1584,2807
19,1567,2599
20,1605,2354
21,1591,2212
22,1555,1970
23,1553,1653
24,1535,1295
25,1488,1091
26,1428,948
27,1389,646
28,1393,364
29,1412,249
30,1446,108
31,1365,55
32,1251,22
33,1249,12
34,1263,3
35,1198,0
36,1136,0
37,1059,0
38,969,0
39,871,0
40,787,0
41,705,0
42,669,0
43,586,0
44,473,0
45,438,0
46,431,0
47,356,0
48,301,0
49,266,0
50,229,0
51,181,0
52,167,0
53,166,0
54,140,0
55,97,0
56,66,0
57,49,0
58,39,0
59,23,0
60,14,0
61,9,0
62,4,0
63,2,0
