Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-62,0,0,0,0,45,0
-59,0,0,0,0,42,0
-56,0,0,0,0,57,0
-54,0,0,0,0,0,12
-53,0,0,0,0,48,24
-52,12,0,0,0,27,3
-51,0,0,0,0,12,24
-50,0,0,0,0,156,18
-49,36,0,0,0,78,24
-48,0,0,0,0,33,24
-47,3,0,0,0,78,24
-46,57,12,0,0,132,36
-45,0,3,0,0,51,48
-44,3,0,0,0,144,30
-43,36,18,0,0,78,24
-42,3,9,0,0,15,54
-41,21,21,0,0,264,87
-40,93,6,0,0,285,60
-39,3,15,0,0,60,117
-38,15,12,0,0,306,90
-37,144,9,0,0,297,93
-36,45,30,0,0,153,147
-35,90,30,0,0,456,147
-34,213,51,0,0,420,225
-33,15,66,0,0,135,204
-32,51,45,0,0,597,195
-31,303,66,0,0,384,243
-30,36,87,0,0,141,285
-29,72,84,0,0,594,327
-28,720,96,0,0,966,375
-27,33,105,0,0,234,366
-26,60,96,0,0,1827,342
-25,546,249,0,0,822,531
-24,18,312,0,0,267,612
-23,237,339,0,0,1164,738
-22,684,177,0,0,987,753
-21,21,255,0,0,279,1374
-20,123,387,0,0,1197,1263
-19,597,369,0,0,1110,1134
-18,75,411,0,0,495,1224
-17,306,486,0,0,1095,1182
-16,690,315,0,0,1368,1167
-15,93,282,0,0,369,975
-14,99,351,0,0,597,981
-13,972,369,0,0,1800,1050
-12,225,567,0,0,576,1290
-11,135,435,0,0,1263,1236
-10,855,273,0,0,1611,993
-9,231,363,0,0,561,1131
-8,150,360,0,0,2238,1242
-7,1845,396,0,0,2304,1341
-6,156,495,0,0,429,1377
-5,210,654,0,0,2862,1668
-4,3336,1044,0,0,3633,2280
-3,27,1611,0,0,252,3282
-2,60,2850,0,0,3045,5208
-1,11679,7143,0,0,12558,10032
0,0,2943,276,276,2706,9276
1,0,732,21,21,12537,10011
2,0,180,9,9,3036,5199
3,0,60,18,30,234,3252
4,0,108,12,36,3621,2244
5,0,57,21,15,2841,1653
6,0,0,21,21,408,1356
7,0,0,21,36,2283,1305
8,0,0,15,36,2223,1206
9,0,0,21,6,540,1125
10,0,0,27,15,1584,978
11,0,0,21,36,1242,1200
12,0,0,18,21,558,1269
13,0,0,9,21,1791,1029
14,0,0,21,48,576,933
15,0,0,36,54,333,921
16,0,0,39,48,1329,1119
17,0,0,21,54,1074,1128
18,0,0,45,39,450,1185
19,0,0,36,42,1074,1092
20,0,0,60,33,1137,1230
21,0,0,33,42,246,1332
22,0,0,39,27,948,726
23,0,0,30,24,1134,714
24,0,0,48,21,219,591
25,0,0,27,21,795,510
26,0,0,27,15,1800,327
27,0,0,18,15,216,351
28,0,0,36,18,930,357
29,0,0,12,24,582,303
30,0,0,9,30,132,255
31,0,0,9,21,375,222
32,0,0,33,27,564,168
33,0,0,12,18,123,186
34,0,0,12,12,408,213
35,0,0,12,6,444,141
36,0,0,27,9,126,138
37,0,0,39,6,258,87
38,0,0,0,12,306,78
39,0,0,0,27,60,90
40,0,0,0,15,285,45
41,0,0,0,6,264,81
42,0,0,0,3,15,51
43,0,0,0,0,78,24
44,0,0,0,0,144,30
45,0,0,24,0,27,48
46,0,0,33,0,99,36
47,0,0,24,0,54,24
48,0,0,15,0,18,24
49,0,0,6,0,72,24
50,0,0,3,0,153,18
51,0,0,0,0,12,24
52,0,0,0,0,27,3
53,0,0,0,0,48,24
54,0,0,0,0,0,12
56,0,0,0,0,57,0
59,0,0,0,0,42,0
62,0,0,0,0,45,0
