,rank effect,count
0,-165,81
1,-164,30
2,-163,36
3,-162,12
4,-161,84
5,-160,30
6,-159,105
7,-158,93
8,-157,36
9,-156,63
10,-155,180
11,-154,180
12,-153,111
13,-152,381
14,-151,357
15,-150,555
16,-149,552
17,-148,723
18,-147,891
19,-146,1032
20,-145,948
21,-144,1071
22,-143,1116
23,-142,1005
24,-141,1374
25,-140,1707
26,-139,1401
27,-138,1962
28,-137,2127
29,-136,2169
30,-135,2496
31,-134,2637
32,-133,2724
33,-132,3525
34,-131,3849
35,-130,4491
36,-129,4815
37,-128,5277
38,-127,4740
39,-126,5436
40,-125,5778
41,-124,6315
42,-123,6198
43,-122,6747
44,-121,7146
45,-120,7263
46,-119,7938
47,-118,8253
48,-117,8766
49,-116,8979
50,-115,9852
51,-114,10125
52,-113,11490
53,-112,12492
54,-111,12636
55,-110,13203
56,-109,15120
57,-108,16059
58,-107,17103
59,-106,17904
60,-105,19887
61,-104,22299
62,-103,25956
63,-102,28905
64,-101,33021
65,-100,36042
66,-99,41439
67,-98,49524
68,-97,58350
69,-96,64248
70,-95,69438
71,-94,76290
72,-93,85596
73,-92,93948
74,-91,102945
75,-90,107760
76,-89,117081
77,-88,128196
78,-87,137757
79,-86,149400
80,-85,165852
81,-84,179499
82,-83,193281
83,-82,204678
84,-81,216750
85,-80,228261
86,-79,238230
87,-78,248349
88,-77,264069
89,-76,279252
90,-75,293202
91,-74,300477
92,-73,323163
93,-72,336849
94,-71,339438
95,-70,352491
96,-69,390378
97,-68,425094
98,-67,446322
99,-66,489612
100,-65,528303
101,-64,557478
102,-63,583077
103,-62,628998
104,-61,677715
105,-60,729156
106,-59,781155
107,-58,813738
108,-57,865818
109,-56,903309
110,-55,942183
111,-54,988101
112,-53,1046337
113,-52,1074720
114,-51,1119945
115,-50,1174449
116,-49,1213488
117,-48,1269408
118,-47,1290603
119,-46,1347300
120,-45,1405005
121,-44,1448997
122,-43,1514769
123,-42,1600359
124,-41,1659402
125,-40,1714584
126,-39,1807947
127,-38,1865946
128,-37,1867089
129,-36,1849539
130,-35,1808355
131,-34,1787106
132,-33,1780251
133,-32,1790799
134,-31,1785267
135,-30,1761219
136,-29,1741746
137,-28,1738041
138,-27,1777068
139,-26,1774752
140,-25,1769724
141,-24,1791864
142,-23,1819239
143,-22,1822125
144,-21,1862043
145,-20,1922103
146,-19,1960797
147,-18,2056359
148,-17,2186010
149,-16,2314245
150,-15,2474283
151,-14,2692656
152,-13,2921793
153,-12,3196956
154,-11,3511380
155,-10,3899736
156,-9,4406577
157,-8,4893570
158,-7,5626449
159,-6,6533577
160,-5,7713000
161,-4,9469635
162,-3,11656428
163,-2,17933748
164,-1,34367625
165,0,27570126
166,1,34367625
167,2,17933748
168,3,11656428
169,4,9469635
170,5,7713000
171,6,6533577
172,7,5626449
173,8,4893570
174,9,4406577
175,10,3899736
176,11,3511380
177,12,3196956
178,13,2921793
179,14,2692656
180,15,2474283
181,16,2314245
182,17,2186010
183,18,2056359
184,19,1960797
185,20,1922103
186,21,1862043
187,22,1822125
188,23,1819239
189,24,1791864
190,25,1769724
191,26,1774752
192,27,1777068
193,28,1738041
194,29,1741746
195,30,1761219
196,31,1785267
197,32,1790799
198,33,1780251
199,34,1787106
200,35,1808355
201,36,1849539
202,37,1867089
203,38,1865946
204,39,1807947
205,40,1714584
206,41,1659402
207,42,1600359
208,43,1514769
209,44,1448997
210,45,1405005
211,46,1347300
212,47,1290603
213,48,1269408
214,49,1213488
215,50,1174449
216,51,1119945
217,52,1074720
218,53,1046337
219,54,988101
220,55,942183
221,56,903309
222,57,865818
223,58,813738
224,59,781155
225,60,729156
226,61,677715
227,62,628998
228,63,583077
229,64,557478
230,65,528303
231,66,489612
232,67,446322
233,68,425094
234,69,390378
235,70,352491
236,71,339438
237,72,336849
238,73,323163
239,74,300477
240,75,293202
241,76,279252
242,77,264069
243,78,248349
244,79,238230
245,80,228261
246,81,216750
247,82,204678
248,83,193281
249,84,179499
250,85,165852
251,86,149400
252,87,137757
253,88,128196
254,89,117081
255,90,107760
256,91,102945
257,92,93948
258,93,85596
259,94,76290
260,95,69438
261,96,64248
262,97,58350
263,98,49524
264,99,41439
265,100,36042
266,101,33021
267,102,28905
268,103,25956
269,104,22299
270,105,19887
271,106,17904
272,107,17103
273,108,16059
274,109,15120
275,110,13203
276,111,12636
277,112,12492
278,113,11490
279,114,10125
280,115,9852
281,116,8979
282,117,8766
283,118,8253
284,119,7938
285,120,7263
286,121,7146
287,122,6747
288,123,6198
289,124,6315
290,125,5778
291,126,5436
292,127,4740
293,128,5277
294,129,4815
295,130,4491
296,131,3849
297,132,3525
298,133,2724
299,134,2637
300,135,2496
301,136,2169
302,137,2127
303,138,1962
304,139,1401
305,140,1707
306,141,1374
307,142,1005
308,143,1116
309,144,1071
310,145,948
311,146,1032
312,147,891
313,148,723
314,149,552
315,150,555
316,151,357
317,152,381
318,153,111
319,154,180
320,155,180
321,156,63
322,157,36
323,158,93
324,159,105
325,160,30
326,161,84
327,162,12
328,163,36
329,164,30
330,165,81
