Rank,Count (Max),Count (Avg)
0,117,117
1,403,403
2,968,1001
3,1750,1902
4,2538,2895
5,3277,3927
6,3765,4880
7,4109,5762
8,4334,6411
9,4350,6902
10,4331,7231
11,4360,7817
12,4168,7910
13,3977,8272
14,3829,8780
15,3785,8980
16,3665,8959
17,3673,8882
18,3659,8767
19,3520,8440
20,3518,7988
21,3517,7138
22,3503,6388
23,3465,5501
24,3512,4720
25,3473,4248
26,3429,3862
27,3420,3375
28,3340,2930
29,3222,2621
30,3286,2270
31,3275,1990
32,3243,1663
33,3300,1332
34,3372,978
35,3378,713
36,3347,534
37,3325,316
38,3290,180
39,3317,76
40,3277,45
41,3112,25
42,3186,11
43,3154,5
44,3009,0
45,2800,0
46,2706,0
47,2606,0
48,2470,0
49,2315,0
50,2134,0
51,1947,0
52,1771,0
53,1661,0
54,1461,0
55,1312,0
56,1207,0
57,1086,0
58,889,0
59,722,0
60,605,0
61,519,0
62,393,0
63,263,0
64,179,0
65,113,0
66,60,0
67,41,0
68,22,0
69,9,0
70,4,0
71,2,0
72,2,0
