Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-41,1,0,0,0,12,0
-40,1,0,0,0,8,0
-39,0,0,0,0,7,0
-38,3,0,0,0,13,0
-37,1,0,0,0,30,0
-36,16,0,0,0,65,0
-35,11,0,0,0,52,0
-34,22,0,0,0,65,0
-33,2,0,0,0,57,0
-32,16,0,0,0,92,0
-31,31,0,0,0,137,0
-30,20,0,0,0,121,0
-29,29,0,0,0,157,0
-28,65,0,0,0,244,1
-27,51,1,0,0,241,9
-26,70,1,0,0,255,5
-25,77,3,0,0,369,11
-24,108,1,0,0,439,27
-23,139,3,0,0,452,51
-22,141,22,0,0,532,88
-21,150,30,0,0,626,106
-20,197,36,0,0,652,161
-19,275,59,0,0,823,245
-18,228,88,0,0,887,367
-17,292,140,0,0,1066,533
-16,411,147,0,0,1174,619
-15,318,212,0,0,1190,822
-14,329,257,0,0,1468,987
-13,517,378,0,0,1628,1188
-12,434,359,0,0,1474,1306
-11,413,434,0,0,1677,1476
-10,762,462,0,0,1997,1712
-9,515,439,0,0,1620,1756
-8,504,545,0,0,2172,2031
-7,1235,591,0,0,2618,2242
-6,443,638,0,0,1672,2460
-5,463,752,0,0,2870,2800
-4,2161,1040,0,0,3847,3442
-3,467,1379,0,0,1777,4261
-2,527,2497,0,0,4311,6694
-1,9473,7292,0,0,12387,12232
0,0,2399,276,276,2132,9436
1,0,470,155,155,12232,12077
2,0,151,97,146,4214,6548
3,0,48,81,94,1696,4167
4,0,24,60,89,3787,3353
5,0,9,54,59,2816,2741
6,0,8,55,51,1617,2409
7,0,3,43,45,2575,2197
8,0,0,39,48,2133,1983
9,0,0,43,48,1577,1708
10,0,0,27,55,1970,1657
11,0,0,34,44,1643,1432
12,0,0,44,42,1430,1264
13,0,0,41,43,1587,1145
14,0,0,38,33,1430,954
15,0,0,37,18,1153,804
16,0,0,37,24,1137,595
17,0,0,23,14,1043,519
18,0,0,28,4,859,363
19,0,0,13,4,810,241
20,0,0,17,4,635,157
21,0,0,12,0,614,106
22,0,0,14,0,518,88
23,0,0,4,0,448,51
24,0,0,9,0,430,27
25,0,0,7,0,362,11
26,0,0,4,0,251,5
27,0,0,3,0,238,9
28,0,0,1,0,243,1
29,0,0,0,0,157,0
30,0,0,0,0,121,0
31,0,0,0,0,137,0
32,0,0,0,0,92,0
33,0,0,0,0,57,0
34,0,0,0,0,65,0
35,0,0,0,0,52,0
36,0,0,0,0,65,0
37,0,0,0,0,30,0
38,0,0,0,0,13,0
39,0,0,0,0,7,0
40,0,0,0,0,8,0
41,0,0,0,0,12,0
