Rank,Count (Max),Count (Avg)
0,69,69
1,6,6
2,6,6
3,12,21
4,12,24
5,12,24
6,18,18
7,18,42
8,12,39
9,18,15
10,30,30
11,27,87
12,21,72
13,36,45
14,45,36
15,48,30
16,48,36
17,48,51
18,36,60
19,33,51
20,45,57
21,39,48
22,27,48
23,33,63
24,45,81
25,48,69
26,36,99
27,54,90
28,51,117
29,63,111
30,45,87
31,33,78
32,36,57
33,60,54
34,75,45
35,72,30
36,72,45
37,81,36
38,84,27
39,78,36
40,78,36
41,69,51
42,54,15
43,36,18
44,30,24
45,27,3
46,30,0
47,24,0
48,24,0
49,15,0
50,21,0
51,30,0
52,36,0
53,30,0
54,18,0
55,15,0
56,12,0
57,6,0
