node,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,9,12,12,18,33,30,57,60,57,75,90,129,135,105,78,108,138,204,120,159,183,138,138,132,222,168,159,204,201,156,153,171,195,264,183,246,225,201,438,963,354,963,438,201,225,246,183,264,195,171,153,156,201,204,159,168,222,132,138,138,183,159,120,204,138,108,78,105,135,129,90,75,57,60,57,30,33,18,12,12,9,6,3,0,3,3,0,0,0,0,0,0,0,0,0
1,6,6,3,9,0,15,18,12,18,24,15,3,21,48,18,30,30,21,36,42,66,39,30,18,33,30,33,42,30,39,57,81,54,72,93,117,45,99,126,105,114,108,153,114,51,63,93,120,144,273,375,498,804,1566,1002,1566,804,498,375,273,144,120,93,63,51,114,153,108,114,105,126,99,45,117,93,72,54,81,57,39,30,42,33,30,33,18,30,39,66,42,36,21,30,30,18,48,21,3,15,24,18,12,18,15,0,9,3,6,6
2,6,9,0,9,18,9,0,9,18,12,6,12,24,9,9,39,18,9,36,21,27,24,15,63,15,42,21,45,42,63,93,105,72,60,90,153,192,126,132,84,99,111,99,63,54,54,108,69,108,177,285,372,594,1623,2016,1623,594,372,285,177,108,69,108,54,54,63,99,111,99,84,132,126,192,153,90,60,72,105,93,63,42,45,21,42,15,63,15,24,27,21,36,9,18,39,9,9,24,12,6,12,18,9,0,9,18,9,0,9,6
3,0,9,0,6,0,0,6,3,0,9,6,9,3,12,15,15,3,9,15,27,33,21,24,15,27,18,51,45,54,99,84,87,111,135,180,153,144,153,141,129,147,132,69,60,33,42,63,102,192,195,183,405,780,1482,1650,1482,780,405,183,195,192,102,63,42,33,60,69,132,147,129,141,153,144,153,180,135,111,87,84,99,54,45,51,18,27,15,24,21,33,27,15,9,3,15,15,12,3,9,6,9,0,3,6,0,0,6,0,9,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,3,18,9,15,27,27,36,15,42,30,45,69,54,75,72,135,96,84,168,198,219,162,180,129,108,60,66,75,93,174,117,168,159,168,270,585,765,1251,1158,1251,765,585,270,168,159,168,117,174,93,75,66,60,108,129,180,162,219,198,168,84,96,135,72,75,54,69,45,30,42,15,36,27,27,15,9,18,3,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,15,12,6,9,12,27,15,36,39,45,45,39,51,114,108,81,99,126,153,75,96,96,108,153,156,174,264,177,156,234,189,159,195,255,435,522,681,1080,618,1080,681,522,435,255,195,159,189,234,156,177,264,174,156,153,108,96,96,75,153,126,99,81,108,114,51,39,45,45,39,36,15,27,12,9,6,12,15,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,9,6,12,3,3,6,18,21,39,33,42,21,27,21,42,18,18,42,225,174,246,288,171,135,120,174,234,246,180,216,282,309,261,234,321,417,609,1041,564,1041,609,417,321,234,261,309,282,216,180,246,234,174,120,135,171,288,246,174,225,42,18,18,42,21,27,21,42,33,39,21,18,6,3,3,12,6,9,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,12,18,27,183,696,171,126,144,126,87,72,78,87,204,345,273,177,195,150,135,120,186,282,537,1026,2190,1026,537,282,186,120,135,150,195,177,273,345,204,87,78,72,87,126,144,126,171,696,183,27,18,12,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
