,rank effect,count
0,-133,12
1,-132,36
2,-131,39
3,-130,6
4,-129,33
5,-128,24
6,-127,27
7,-126,51
8,-125,57
9,-124,21
10,-123,60
11,-122,108
12,-121,159
13,-120,120
14,-119,219
15,-118,216
16,-117,339
17,-116,330
18,-115,417
19,-114,450
20,-113,669
21,-112,549
22,-111,516
23,-110,639
24,-109,594
25,-108,771
26,-107,753
27,-106,912
28,-105,1389
29,-104,1317
30,-103,1296
31,-102,1527
32,-101,1545
33,-100,1566
34,-99,1797
35,-98,2130
36,-97,2082
37,-96,2145
38,-95,2259
39,-94,2109
40,-93,2190
41,-92,2337
42,-91,2457
43,-90,2868
44,-89,3024
45,-88,2994
46,-87,3495
47,-86,4329
48,-85,4338
49,-84,4665
50,-83,6063
51,-82,6606
52,-81,7200
53,-80,8733
54,-79,9651
55,-78,10152
56,-77,11397
57,-76,12087
58,-75,13209
59,-74,14703
60,-73,16065
61,-72,17472
62,-71,19242
63,-70,20559
64,-69,23052
65,-68,25335
66,-67,24762
67,-66,26775
68,-65,29553
69,-64,32241
70,-63,32658
71,-62,34389
72,-61,36252
73,-60,38793
74,-59,40788
75,-58,46953
76,-57,47178
77,-56,47865
78,-55,53529
79,-54,59457
80,-53,61494
81,-52,67878
82,-51,74841
83,-50,78513
84,-49,84891
85,-48,92442
86,-47,100884
87,-46,107439
88,-45,118029
89,-44,136266
90,-43,140403
91,-42,144744
92,-41,151650
93,-40,161136
94,-39,162057
95,-38,170520
96,-37,179700
97,-36,185556
98,-35,201546
99,-34,225582
100,-33,225003
101,-32,220416
102,-31,226443
103,-30,229098
104,-29,220572
105,-28,211374
106,-27,207150
107,-26,209382
108,-25,194307
109,-24,197454
110,-23,199743
111,-22,195939
112,-21,200310
113,-20,210825
114,-19,205704
115,-18,215082
116,-17,227427
117,-16,238713
118,-15,249312
119,-14,262725
120,-13,284007
121,-12,303867
122,-11,322839
123,-10,362106
124,-9,409116
125,-8,456354
126,-7,533658
127,-6,632523
128,-5,749349
129,-4,942354
130,-3,1205688
131,-2,1847256
132,-1,3393900
133,0,2911854
134,1,3393900
135,2,1847256
136,3,1205688
137,4,942354
138,5,749349
139,6,632523
140,7,533658
141,8,456354
142,9,409116
143,10,362106
144,11,322839
145,12,303867
146,13,284007
147,14,262725
148,15,249312
149,16,238713
150,17,227427
151,18,215082
152,19,205704
153,20,210825
154,21,200310
155,22,195939
156,23,199743
157,24,197454
158,25,194307
159,26,209382
160,27,207150
161,28,211374
162,29,220572
163,30,229098
164,31,226443
165,32,220416
166,33,225003
167,34,225582
168,35,201546
169,36,185556
170,37,179700
171,38,170520
172,39,162057
173,40,161136
174,41,151650
175,42,144744
176,43,140403
177,44,136266
178,45,118029
179,46,107439
180,47,100884
181,48,92442
182,49,84891
183,50,78513
184,51,74841
185,52,67878
186,53,61494
187,54,59457
188,55,53529
189,56,47865
190,57,47178
191,58,46953
192,59,40788
193,60,38793
194,61,36252
195,62,34389
196,63,32658
197,64,32241
198,65,29553
199,66,26775
200,67,24762
201,68,25335
202,69,23052
203,70,20559
204,71,19242
205,72,17472
206,73,16065
207,74,14703
208,75,13209
209,76,12087
210,77,11397
211,78,10152
212,79,9651
213,80,8733
214,81,7200
215,82,6606
216,83,6063
217,84,4665
218,85,4338
219,86,4329
220,87,3495
221,88,2994
222,89,3024
223,90,2868
224,91,2457
225,92,2337
226,93,2190
227,94,2109
228,95,2259
229,96,2145
230,97,2082
231,98,2130
232,99,1797
233,100,1566
234,101,1545
235,102,1527
236,103,1296
237,104,1317
238,105,1389
239,106,912
240,107,753
241,108,771
242,109,594
243,110,639
244,111,516
245,112,549
246,113,669
247,114,450
248,115,417
249,116,330
250,117,339
251,118,216
252,119,219
253,120,120
254,121,159
255,122,108
256,123,60
257,124,21
258,125,57
259,126,51
260,127,27
261,128,24
262,129,33
263,130,6
264,131,39
265,132,36
266,133,12
