,rank effect,count
0,-149,48
1,-148,27
2,-147,30
3,-146,12
4,-145,66
5,-144,18
6,-143,60
7,-142,48
8,-141,60
9,-140,30
10,-139,114
11,-138,126
12,-137,105
13,-136,219
14,-135,219
15,-134,375
16,-133,438
17,-132,486
18,-131,672
19,-130,579
20,-129,819
21,-128,618
22,-127,810
23,-126,897
24,-125,846
25,-124,1074
26,-123,1176
27,-122,1299
28,-121,1506
29,-120,1557
30,-119,1650
31,-118,2166
32,-117,2235
33,-116,2418
34,-115,2712
35,-114,2916
36,-113,3021
37,-112,3357
38,-111,3744
39,-110,3537
40,-109,3717
41,-108,4263
42,-107,4149
43,-106,3882
44,-105,4044
45,-104,4599
46,-103,5136
47,-102,5544
48,-101,5517
49,-100,5955
50,-99,6762
51,-98,6936
52,-97,7392
53,-96,8709
54,-95,9498
55,-94,10704
56,-93,12324
57,-92,13665
58,-91,15081
59,-90,16350
60,-89,18522
61,-88,21906
62,-87,24768
63,-86,26904
64,-85,29775
65,-84,33054
66,-83,36792
67,-82,39651
68,-81,42996
69,-80,46809
70,-79,49848
71,-78,55215
72,-77,58671
73,-76,63678
74,-75,69753
75,-74,76044
76,-73,79860
77,-72,82104
78,-71,87786
79,-70,91983
80,-69,98847
81,-68,103839
82,-67,106410
83,-66,115668
84,-65,124719
85,-64,124161
86,-63,125988
87,-62,139743
88,-61,153618
89,-60,164262
90,-59,182823
91,-58,198489
92,-57,205245
93,-56,216378
94,-55,238002
95,-54,257271
96,-53,277512
97,-52,299871
98,-51,313455
99,-50,329376
100,-49,352563
101,-48,375096
102,-47,388152
103,-46,407493
104,-45,425991
105,-44,452370
106,-43,463068
107,-42,480165
108,-41,498459
109,-40,511173
110,-39,536460
111,-38,586134
112,-37,621690
113,-36,610569
114,-35,644817
115,-34,664074
116,-33,654213
117,-32,625977
118,-31,599976
119,-30,603279
120,-29,605241
121,-28,599886
122,-27,595467
123,-26,590766
124,-25,589470
125,-24,596568
126,-23,613887
127,-22,603096
128,-21,612648
129,-20,632628
130,-19,644481
131,-18,671814
132,-17,704571
133,-16,739014
134,-15,783033
135,-14,835317
136,-13,905787
137,-12,984309
138,-11,1060611
139,-10,1185927
140,-9,1350285
141,-8,1506039
142,-7,1739646
143,-6,2052507
144,-5,2409489
145,-4,2971254
146,-3,3776676
147,-2,5788500
148,-1,10808376
149,0,8988882
150,1,10808376
151,2,5788500
152,3,3776676
153,4,2971254
154,5,2409489
155,6,2052507
156,7,1739646
157,8,1506039
158,9,1350285
159,10,1185927
160,11,1060611
161,12,984309
162,13,905787
163,14,835317
164,15,783033
165,16,739014
166,17,704571
167,18,671814
168,19,644481
169,20,632628
170,21,612648
171,22,603096
172,23,613887
173,24,596568
174,25,589470
175,26,590766
176,27,595467
177,28,599886
178,29,605241
179,30,603279
180,31,599976
181,32,625977
182,33,654213
183,34,664074
184,35,644817
185,36,610569
186,37,621690
187,38,586134
188,39,536460
189,40,511173
190,41,498459
191,42,480165
192,43,463068
193,44,452370
194,45,425991
195,46,407493
196,47,388152
197,48,375096
198,49,352563
199,50,329376
200,51,313455
201,52,299871
202,53,277512
203,54,257271
204,55,238002
205,56,216378
206,57,205245
207,58,198489
208,59,182823
209,60,164262
210,61,153618
211,62,139743
212,63,125988
213,64,124161
214,65,124719
215,66,115668
216,67,106410
217,68,103839
218,69,98847
219,70,91983
220,71,87786
221,72,82104
222,73,79860
223,74,76044
224,75,69753
225,76,63678
226,77,58671
227,78,55215
228,79,49848
229,80,46809
230,81,42996
231,82,39651
232,83,36792
233,84,33054
234,85,29775
235,86,26904
236,87,24768
237,88,21906
238,89,18522
239,90,16350
240,91,15081
241,92,13665
242,93,12324
243,94,10704
244,95,9498
245,96,8709
246,97,7392
247,98,6936
248,99,6762
249,100,5955
250,101,5517
251,102,5544
252,103,5136
253,104,4599
254,105,4044
255,106,3882
256,107,4149
257,108,4263
258,109,3717
259,110,3537
260,111,3744
261,112,3357
262,113,3021
263,114,2916
264,115,2712
265,116,2418
266,117,2235
267,118,2166
268,119,1650
269,120,1557
270,121,1506
271,122,1299
272,123,1176
273,124,1074
274,125,846
275,126,897
276,127,810
277,128,618
278,129,819
279,130,579
280,131,672
281,132,486
282,133,438
283,134,375
284,135,219
285,136,219
286,137,105
287,138,126
288,139,114
289,140,30
290,141,60
291,142,48
292,143,60
293,144,18
294,145,66
295,146,12
296,147,30
297,148,27
298,149,48
