node,-3,-2,-1,0,1,2,3
0,39680,487680,1980900,2795980,1980900,487680,39680
1,39680,487680,1980900,2795980,1980900,487680,39680
2,23040,394000,2036940,2904540,2036940,394000,23040
3,19200,419600,2029260,2876380,2029260,419600,19200
4,23040,394000,2036940,2904540,2036940,394000,23040
5,0,451840,2008580,2891660,2008580,451840,0
6,43520,456960,1993580,2824380,1993580,456960,43520
7,0,451840,2008580,2891660,2008580,451840,0
8,19200,419600,2029260,2876380,2029260,419600,19200
