nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,9,1.0,0.2506337891512422,0.38888888888888884,1.0,0.530102841772091,0.4477667098073664,9.0,26.28575295353587,0.7957209315645256
1,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113928,0.14977406137631416
2,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113934,0.1497740613763142
3,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113938,0.14977406137631416
4,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113937,0.1497740613763142
5,9,1.0,0.2506337891512422,0.38888888888888884,1.0,0.5301028417720909,0.4477667098073664,9.0,26.285752953535848,0.7957209315645256
6,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113937,0.14977406137631416
7,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113938,0.14977406137631416
8,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113938,0.14977406137631416
9,2,0.2222222222222222,0.06234155271218944,0.0,0.5625,0.2339823589211127,0.2736352378570265,5.5,5.961122292113937,0.1497740613763142
