nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.6666666666666666,0.16099307628236248,0.05,0.75,0.4498644093541478,0.40165945189916036,5.0,8.510986745759537,0.45346976462422195
3,2,0.3333333333333333,0.09155155303130234,0.016666666666666666,0.6,0.226900949106833,0.3248617151409848,4.0,3.2353582635208484,0.13472946782184558
4,2,0.3333333333333333,0.09155155303130234,0.016666666666666666,0.6,0.226900949106833,0.3248617151409848,4.0,3.2353582635208484,0.13472946782184558
5,4,0.6666666666666666,0.16766833345485763,0.16666666666666666,0.75,0.3674676926262611,0.3887522829743765,5.0,6.388907754085111,0.4086348088333146
6,5,0.8333333333333333,0.20289898381665247,0.3,0.8571428571428571,0.46829859781682076,0.42538409829115265,5.5,9.222067021586732,0.5918978083431359
1,4,0.6666666666666666,0.16099307628236248,0.05,0.75,0.4498644093541478,0.40165945189916036,5.0,8.510986745759539,0.4534697646242222
2,3,0.5,0.12434342410116057,0.0,0.6666666666666666,0.37140256210809225,0.36631834908270794,4.5,6.314081107178259,0.2731241773632999
