nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,8,0.8888888888888888,0.23783669619277342,0.38888888888888884,0.9,0.5000004738379094,0.42426406871192857,8.5,14.154116418008254,0.6815178628809697
1,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502061,0.1485270953683184
2,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.1485270953683184
3,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.14852709536831837
4,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.148527095368319
6,8,0.8888888888888888,0.23783669619277342,0.38888888888888884,0.9,0.5000004738379094,0.42426406871192857,8.5,14.154116418008249,0.6815178628809697
7,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.148527095368319
8,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.148527095368319
9,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.14852709536831904
5,2,0.2222222222222222,0.06554082595180666,0.003472222222222222,0.5625,0.24999976308082084,0.282842712474619,5.5,4.288529104502062,0.14852709536831898
