nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,5,0.38461538461538464,0.18300645479113697,0.5384615384615384,0.52,0.43621120655408885,0.3400473466439837,8.333333333333332,4.998916746027596,0.5627867881352101
1,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.1606561172461833,0.2422380474972576,5.333333333333333,1.753563818426053,0.02841208806371135
2,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.1606561172461833,0.2422380474972576,5.333333333333333,1.7535638184260525,0.028412088063711344
3,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.1606561172461833,0.2422380474972576,5.333333333333333,1.753563818426052,0.028412088063711365
4,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.1606561172461833,0.2422380474972576,5.333333333333333,1.753563818426053,0.028412088063711583
5,5,0.38461538461538464,0.17697954818323078,0.7435897435897436,0.6190476190476191,0.5417719873612339,0.3491883808854329,9.0,5.250976328648186,0.7710951934284398
6,1,0.07692307692307693,0.040800398647843385,0.0,0.3939393939393939,0.19953243361665637,0.24315215092140255,5.666666666666665,1.7605511280004762,0.037348106195544524
7,1,0.07692307692307693,0.040800398647843385,0.0,0.3939393939393939,0.19953243361665637,0.24315215092140255,5.666666666666665,1.7605511280004755,0.037348106195544524
8,1,0.07692307692307693,0.040800398647843385,0.0,0.3939393939393939,0.19953243361665637,0.24315215092140255,5.666666666666665,1.7605511280004755,0.03734810619554441
9,5,0.38461538461538464,0.18300645479113692,0.5384615384615384,0.52,0.43621120655408874,0.3400473466439837,8.333333333333332,4.998916746027597,0.5627867881352101
10,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.16065611724618328,0.2422380474972576,5.333333333333334,1.753563818426053,0.02841208806371172
11,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.16065611724618328,0.2422380474972576,5.333333333333334,1.753563818426053,0.028412088063711656
12,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.16065611724618328,0.2422380474972576,5.333333333333334,1.753563818426053,0.028412088063711635
13,1,0.07692307692307693,0.04182579328637062,0.0,0.35135135135135137,0.16065611724618328,0.2422380474972576,5.333333333333334,1.753563818426053,0.028412088063711635
