nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.4444444444444444,0.1,0.0648148148148148,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,7.120702430217836,0.2664969057782574
1,4,0.4444444444444444,0.1,0.07870370370370369,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,6.843548754842919,0.2728365002524332
2,4,0.4444444444444444,0.1,0.0648148148148148,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,6.904258574430765,0.2707209826448498
3,4,0.4444444444444444,0.1,0.07407407407407407,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,6.828378037767907,0.2726929899863641
4,4,0.4444444444444444,0.1,0.0648148148148148,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,7.120702430217833,0.2663477896900528
5,4,0.4444444444444444,0.1,0.06944444444444445,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,7.131782462944824,0.26525191548858457
6,4,0.4444444444444444,0.1,0.0648148148148148,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,7.13178246294483,0.2655800297738013
7,4,0.4444444444444444,0.1,0.07870370370370369,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,6.843548754842912,0.2723390392799248
8,4,0.4444444444444444,0.1,0.060185185185185175,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,7.194397561035799,0.2635093203403169
9,4,0.4444444444444444,0.1,0.07407407407407407,0.6428571428571429,0.31622776601683794,0.3162277660168379,6.5,6.828378037767916,0.27227931497555824
