nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,1,0.25,0.1343338512203446,0.0,0.4444444444444444,0.27060039404536734,0.41840959207456097,2.1666666666666665,1.5921819309460552,0.04607779583069578
1,2,0.5,0.24549256100607258,0.5,0.6666666666666666,0.5000017939959851,0.4641247018571135,3.0,2.2795299035971435,0.5597530114902389
2,3,0.75,0.357556987250496,0.8333333333333333,0.8,0.653280511529063,0.5028663296231372,3.5,2.9668778762482324,0.8588341744508279
3,1,0.25,0.13130830026154344,0.0,0.5,0.35355212204115977,0.42228374875041036,2.333333333333333,1.6397649517985702,0.07660961384775389
4,1,0.25,0.13130830026154344,0.0,0.5,0.35355212204115977,0.42228374875041036,2.333333333333333,1.6397649517985713,0.07660961384775389
