nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,1,0.25,0.09902912919678811,0.0,0.5714285714285714,0.21691733875073663,0.38491637086299807,2.5,1.7431872483300064,0.06410372774727771
1,2,0.5,0.16740375561757248,0.0,0.6666666666666666,0.4119170973700676,0.43204896443989005,3.0,3.1036748801962615,0.2508135603717732
2,2,0.5,0.16740375561757248,0.0,0.6666666666666666,0.4119170973700676,0.43204896443989005,3.0,3.103674880196261,0.2508135603717732
3,4,1.0,0.3248416115588794,0.5833333333333333,1.0,0.5825392535755105,0.5063185248438331,4.0,5.207349760392526,0.8103147765353538
4,3,0.75,0.24132174800918754,0.08333333333333333,0.8,0.5236826290621274,0.4713261328363418,3.5,4.360481641995326,0.4732431877090889
