nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.5714285714285714,0.125,0.09523809523809523,0.7,0.35355339059327373,0.3535533905932738,5.5,7.8106564111510135,0.3425284273420784
1,4,0.5714285714285714,0.125,0.06349206349206349,0.7,0.35355339059327373,0.3535533905932738,5.5,8.074809294367,0.3337232073031688
2,4,0.5714285714285714,0.125,0.09523809523809523,0.7,0.35355339059327373,0.3535533905932738,5.5,7.810656411151012,0.34252842734207894
3,4,0.5714285714285714,0.125,0.06349206349206349,0.7,0.35355339059327373,0.3535533905932738,5.5,8.074809294366993,0.3337232073031688
4,4,0.5714285714285714,0.125,0.06349206349206349,0.7,0.35355339059327373,0.3535533905932738,5.5,8.074809294367004,0.3337232073031688
5,4,0.5714285714285714,0.125,0.047619047619047616,0.7,0.35355339059327373,0.3535533905932738,5.5,8.130081959255882,0.33199870520708835
6,4,0.5714285714285714,0.125,0.09523809523809523,0.7,0.35355339059327373,0.3535533905932738,5.5,7.81065641115102,0.3425284273420789
7,4,0.5714285714285714,0.125,0.047619047619047616,0.7,0.35355339059327373,0.3535533905932738,5.5,8.130081959255882,0.33199870520708835
