nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.4,0.19151021758000344,0.5333333333333333,0.5263157894736842,0.4472146635677449,0.3588982063492456,6.499999999999999,3.945351347503033,0.5592020583593138
1,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.6956967308331028,0.030495559161910508
2,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.695696730833104,0.03049555916191063
3,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.6956967308331028,0.030495559161910626
4,4,0.4,0.18506305912186313,0.7333333333333334,0.625,0.5477204238085952,0.36662197881192243,7.0,4.117864099826417,0.7635534228701488
5,1,0.1,0.05296269642827833,0.0,0.4,0.2236046695196272,0.27625380746775313,4.5,1.700670894909484,0.03956946822918553
6,1,0.1,0.05296269642827833,0.0,0.4,0.2236046695196272,0.27625380746775313,4.5,1.700670894909484,0.03956946822918552
7,4,0.4,0.19151021758000342,0.5333333333333333,0.5263157894736842,0.4472146635677449,0.3588982063492456,6.5,3.9453513475030357,0.5592020583593138
8,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.695696730833104,0.030495559161910525
9,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.695696730833104,0.030495559161910515
10,1,0.1,0.05433185214359559,0.0,0.35714285714285715,0.18257524944569523,0.27548144139843556,4.25,1.6956967308331041,0.03049555916191052
