nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,4,0.4444444444444444,0.2125313760960068,0.5833333333333333,0.6428571428571429,0.44209547951768785,0.3774745778630366,6.5,4.076797076057859,0.6238206525493288
1,1,0.1111111111111111,0.060162502604725485,0.0,0.4090909090909091,0.1696455299661424,0.28617208316033194,4.166666666666667,1.6992781823805254,0.037128700710656555
2,1,0.1111111111111111,0.060162502604725485,0.0,0.4090909090909091,0.1696455299661424,0.28617208316033194,4.166666666666667,1.6992781823805245,0.03712870071065657
3,1,0.1111111111111111,0.060162502604725485,0.0,0.4090909090909091,0.1696455299661424,0.28617208316033194,4.166666666666667,1.6992781823805254,0.037128700710656576
4,6,0.6666666666666666,0.3114023660538865,0.8333333333333333,0.75,0.6431649730420924,0.43198354102470704,7.5,6.034722133890417,0.8535004361602204
5,1,0.1111111111111111,0.059115750007186066,0.0,0.45,0.24680015677843894,0.29162296885187416,4.5,1.8111519209948281,0.05673604333208642
6,1,0.1111111111111111,0.059115750007186066,0.0,0.45,0.24680015677843894,0.29162296885187416,4.5,1.8111519209948284,0.05673604333208641
7,1,0.1111111111111111,0.059115750007186066,0.0,0.45,0.24680015677843894,0.29162296885187416,4.5,1.8111519209948284,0.05673604333208628
8,1,0.1111111111111111,0.059115750007186066,0.0,0.45,0.24680015677843894,0.29162296885187416,4.5,1.8111519209948286,0.05673604333208628
9,1,0.1111111111111111,0.059115750007186066,0.0,0.45,0.24680015677843894,0.29162296885187416,4.5,1.8111519209948281,0.05673604333208628
