nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,3,1.0,0.4797305739863631,1.0,1.0,0.707106878039843,0.5636214379303071,3.0,2.9145774401759272,1.0
1,1,0.3333333333333333,0.17342314200454556,0.0,0.6,0.40824823454557924,0.47691049988629,2.0,1.638192480058642,0.11518533676225806
2,1,0.3333333333333333,0.17342314200454556,0.0,0.6,0.40824823454557924,0.47691049988629,2.0,1.6381924800586425,0.11518533676225806
3,1,0.3333333333333333,0.17342314200454556,0.0,0.6,0.40824823454557924,0.47691049988629,2.0,1.6381924800586423,0.11518533676225812
