nodes,degree,degree_centr,page_rank_alpha0.85_centr,betweenness_centr,closeness_centr,eigenvector_centr,katz_alpha0.1_beta1.0_centr,harmonic_centr,subgraph_centr,communicability_betweenness_centr
0,2,1.0,0.3333333333333333,0.0,1.0,0.5773502691896258,0.5773502691896258,2.0,2.7082716604245114,0.49786143366223296
1,2,1.0,0.3333333333333333,0.0,1.0,0.5773502691896258,0.5773502691896258,2.0,2.70827166042451,0.49786143366223296
2,2,1.0,0.3333333333333333,0.0,1.0,0.5773502691896258,0.5773502691896258,2.0,2.7082716604245114,0.49786143366223296
