node,-4,-3,-2,-1,0,1,2,3,4
0,320,1200,2320,2640,6240,2640,2320,1200,320
1,0,0,0,960,2880,960,0,0,0
2,0,0,0,960,2880,960,0,0,0
3,0,0,0,960,2880,960,0,0,0
4,0,0,384,2304,4224,2304,384,0,0
5,320,1200,2320,2640,6240,2640,2320,1200,320
6,0,0,0,960,2880,960,0,0,0
7,0,0,0,960,2880,960,0,0,0
8,0,0,0,960,2880,960,0,0,0
