,rank effect,count
0,-11,2
1,-9,8
2,-7,1
3,-6,1
4,-5,6
5,-4,5
6,-3,2
7,-1,1016
8,1,4883
9,3,206
10,4,1
11,5,2
12,6,5
13,7,4
14,11,2
