,rank effect,count
0,-11,1
1,-10,3
2,-9,2
3,-8,11
4,-7,3
5,-6,7
6,-5,7
7,-4,5
8,-3,30
9,-2,197
10,-1,904
11,0,278
12,1,1391
13,2,548
14,3,139
15,4,26
16,5,10
17,6,5
18,7,2
19,8,9
20,9,2
21,10,3
22,11,1
