,rank,count
0,0,5
1,1,11
2,2,55
3,3,158
4,4,289
5,5,360
6,6,322
7,7,244
8,8,200
9,9,179
10,10,124
11,11,50
12,12,19
13,13,20
14,14,11
15,15,1
