Node,Aggregated Steps
0,546345
1,547429
2,547926
3,545840
4,547455
5,545926
6,547949
7,547301
8,546092
9,546051
10,544400
11,544919
12,543493
13,546423
14,545394
15,544360
16,546018
17,546700
18,542757
19,544668
20,543866
21,546682
22,543589
23,544208
24,544860
25,543849
26,544270
27,543692
28,545517
29,546246
