Node,589,1646,2704,3761,4819,5877,6934,7992,9049,10107,11165
0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,1,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,0,0,0,1,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0
11,1,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0
