Node,Aggregated Steps
0,1146663
1,1159599
2,1112584
3,1167733
4,1142610
5,1126398
6,1101459
7,1100443
8,1100014
9,1025202
10,1083417
11,1082989
12,1027174
13,1083309
14,1102530
15,1060246
16,1025576
17,1025234
18,1026198
19,1062687
20,1026153
21,1024229
22,1026175
23,1026546
24,1059333
25,1025178
26,1027399
27,1024045
28,971905
