Node,Aggregated Steps
0,1257154
1,1224849
2,1230092
3,1168230
4,1225357
5,1251793
6,1189525
7,1205470
8,1224793
9,1168556
10,1107514
11,1104481
12,1106231
13,1169491
14,1142030
15,1142919
16,1204066
17,1170692
18,1106998
19,1142393
20,1107671
21,1144631
22,1105093
23,1106973
24,1142740
25,1105574
26,1106761
27,1142961
28,1106366
29,1106349
