Node,1,303,605,907,1209,1511,1813,2115,2417,2719,3021
0,35958,10174,2813,747,207,75,18,5,3,0
1,36022,10181,2761,771,208,46,10,1,0,0
2,36129,10136,2741,723,210,47,11,1,2,0
3,36337,9924,2706,732,229,53,15,3,1,0
4,36548,9845,2655,687,187,57,17,3,1,0
5,36247,10056,2679,750,196,53,12,4,3,0
6,36213,10128,2675,710,194,58,15,6,1,0
7,36214,10114,2675,739,191,43,22,2,0,0
8,36307,10068,2646,700,202,58,13,4,2,0
9,36301,10009,2677,740,193,54,18,5,3,0
10,36341,9947,2696,742,211,46,14,3,0,0
11,36241,9988,2711,774,214,53,12,4,2,1
12,36255,9999,2719,769,190,55,9,4,0,0
13,36365,9947,2697,730,197,44,15,5,0,0
14,36207,10128,2680,726,197,47,12,1,2,0
15,36410,9965,2608,775,187,38,11,4,2,0
16,36561,9877,2621,667,195,57,15,5,2,0
17,36460,9815,2697,761,184,59,17,4,0,3
18,36435,10010,2576,697,196,65,20,1,0,0
19,36574,9975,2522,688,176,47,8,8,2,0
