node,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,0,0,256,1856,3904,6336,11136,6336,3904,1856,256,0,0
4,96,720,2304,4000,3840,5520,20800,5520,3840,4000,2304,720,96
1,0,0,0,0,0,1792,5376,1792,0,0,0,0,0
2,0,0,0,0,0,1792,5376,1792,0,0,0,0,0
3,0,0,0,0,0,1792,5376,1792,0,0,0,0,0
5,0,0,0,0,0,1280,6400,1280,0,0,0,0,0
6,0,0,0,0,0,1280,6400,1280,0,0,0,0,0
7,0,0,0,0,0,1280,6400,1280,0,0,0,0,0
8,0,0,0,0,0,1280,6400,1280,0,0,0,0,0
9,0,0,0,0,0,1280,6400,1280,0,0,0,0,0
