node,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,160,1152,3104,4608,6464,15104,6464,4608,3104,1152,160
1,0,0,0,0,1536,6144,1536,0,0,0,0
2,0,0,0,0,1536,6144,1536,0,0,0,0
3,0,0,0,0,1536,6144,1536,0,0,0,0
4,0,0,0,0,1536,6144,1536,0,0,0,0
5,160,1152,3104,4608,6464,15104,6464,4608,3104,1152,160
6,0,0,0,0,1536,6144,1536,0,0,0,0
7,0,0,0,0,1536,6144,1536,0,0,0,0
8,0,0,0,0,1536,6144,1536,0,0,0,0
9,0,0,0,0,1536,6144,1536,0,0,0,0
