Rank,Count (Max),Count (Avg)
0,5,5
1,9,9
2,28,28
3,63,70
4,94,88
5,106,105
6,85,88
7,51,54
8,30,36
9,19,20
10,11,6
11,7,2
12,2,1
13,1,0
14,1,0
