Rank,Count (Max),Count (Avg)
0,1,1
1,7,7
2,22,24
3,41,43
4,52,71
5,59,74
6,70,91
7,68,75
8,48,52
9,29,42
10,22,17
11,25,10
12,25,3
13,16,1
14,8,1
15,5,0
16,5,0
17,5,0
18,2,0
19,1,0
20,1,0
