node,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,0,760,2888,5568,6336,14976,6336,5568,2888,760,0
1,0,0,0,0,2302,6916,2302,0,0,0,0
2,0,0,0,0,2302,6916,2302,0,0,0,0
3,0,0,0,0,2302,6916,2302,0,0,0,0
4,0,0,0,764,5380,10752,5380,764,0,0,0
5,390,1930,4640,5280,5840,21440,5840,5280,4640,1930,390
6,0,0,0,0,1918,7684,1918,0,0,0,0
7,0,0,0,0,1918,7684,1918,0,0,0,0
8,0,0,0,0,1918,7684,1918,0,0,0,0
9,0,0,0,0,1918,7684,1918,0,0,0,0
