Rank,Count (Max),Count (Avg)
0,105,105
1,6,6
2,6,6
3,12,21
4,12,30
5,15,30
6,24,24
7,27,51
8,21,48
9,27,27
10,39,39
11,36,84
12,33,69
13,42,54
14,54,72
15,54,96
16,57,87
17,63,111
18,84,135
19,90,135
20,84,150
21,87,150
22,120,180
23,135,240
24,126,237
25,156,228
26,192,222
27,192,243
28,177,234
29,192,204
30,195,270
31,180,315
32,189,291
33,201,318
34,204,351
35,198,342
36,225,402
37,252,357
38,288,426
39,279,378
40,279,441
41,294,429
42,330,411
43,285,483
44,291,468
45,324,468
46,363,480
47,306,609
48,363,549
49,402,564
50,405,672
51,336,684
52,336,732
53,351,858
54,363,870
55,360,1059
56,420,1128
57,447,1215
58,438,1323
59,441,1326
60,477,1395
61,543,1359
62,570,1314
63,582,1158
64,582,1125
65,549,1110
66,567,1083
67,627,894
68,654,861
69,672,723
70,744,738
71,840,828
72,861,849
73,849,741
74,870,729
75,912,906
76,927,864
77,966,915
78,951,936
79,969,1122
80,990,1167
81,1032,1224
82,996,1269
83,963,1380
84,975,1338
85,954,1329
86,882,1293
87,813,1200
88,783,1083
89,774,852
90,759,756
91,786,693
92,792,588
93,825,465
94,780,468
95,732,474
96,687,366
97,735,369
98,759,306
99,759,246
100,753,246
101,768,159
102,753,132
103,789,99
104,831,66
105,882,57
106,861,42
107,894,69
108,882,75
109,867,30
110,861,18
111,903,3
112,864,0
113,759,0
114,672,0
115,621,0
116,546,0
117,465,0
118,384,0
119,303,0
120,228,0
121,174,0
122,153,0
123,126,0
124,90,0
125,69,0
126,48,0
127,51,0
128,48,0
129,51,0
130,51,0
131,45,0
132,54,0
133,42,0
134,24,0
135,15,0
136,12,0
137,9,0
